term,grade,home_ownership,emp_length,loan_status
 36 months,A,RENT,8 years,Fully Paid
 60 months,E,MORTGAGE,10+ years,Fully Paid
 36 months,D,RENT,10+ years,Fully Paid
 36 months,B,RENT,< 1 year,Fully Paid
 36 months,F,RENT,7 years,Fully Paid
 36 months,B,MORTGAGE,8 years,Fully Paid
 60 months,C,MORTGAGE,9 years,Fully Paid
 36 months,A,MORTGAGE,2 years,Fully Paid
 36 months,A,OWN,1 year,Fully Paid
 36 months,B,MORTGAGE,8 years,Fully Paid
 36 months,A,RENT,4 years,Fully Paid
 60 months,D,RENT,4 years,Fully Paid
 36 months,B,MORTGAGE,10+ years,Fully Paid
 36 months,C,MORTGAGE,10+ years,Fully Paid
 36 months,C,OWN,1 year,Fully Paid
 36 months,D,MORTGAGE,1 year,Fully Paid
 60 months,D,MORTGAGE,5 years,Fully Paid
 36 months,A,RENT,1 year,Fully Paid
 36 months,D,MORTGAGE,10+ years,Fully Paid
 36 months,B,RENT,4 years,Fully Paid
 36 months,D,RENT,9 years,Fully Paid
 36 months,A,MORTGAGE,10+ years,Fully Paid
 36 months,B,MORTGAGE,10+ years,Fully Paid
 36 months,A,RENT,2 years,Fully Paid
 36 months,C,RENT,10+ years,Fully Paid
 36 months,B,MORTGAGE,3 years,Fully Paid
 36 months,C,MORTGAGE,10+ years,Fully Paid
 60 months,C,MORTGAGE,8 years,Fully Paid
 36 months,B,MORTGAGE,6 years,Fully Paid
 36 months,C,RENT,10+ years,Fully Paid
 60 months,F,MORTGAGE,5 years,Fully Paid
 36 months,C,RENT,3 years,Fully Paid
 36 months,A,MORTGAGE,8 years,Fully Paid
 36 months,D,MORTGAGE,9 years,Fully Paid
 36 months,B,MORTGAGE,5 years,Fully Paid
 36 months,B,MORTGAGE,5 years,Fully Paid
 36 months,C,MORTGAGE,,Fully Paid
 36 months,B,RENT,< 1 year,Fully Paid
 60 months,D,OWN,4 years,Fully Paid
 36 months,A,MORTGAGE,10+ years,Fully Paid
 60 months,C,MORTGAGE,8 years,Fully Paid
 36 months,B,OWN,10+ years,Fully Paid
 36 months,A,RENT,1 year,Fully Paid
 60 months,E,MORTGAGE,10+ years,Fully Paid
 36 months,A,RENT,10+ years,Fully Paid
 36 months,A,MORTGAGE,1 year,Fully Paid
 36 months,B,RENT,< 1 year,Fully Paid
 36 months,A,MORTGAGE,6 years,Fully Paid
 36 months,A,MORTGAGE,4 years,Fully Paid
 36 months,C,RENT,10+ years,Fully Paid
 60 months,E,OWN,8 years,Fully Paid
 60 months,B,MORTGAGE,10+ years,Fully Paid
 36 months,D,RENT,< 1 year,Fully Paid
 60 months,C,RENT,10+ years,Fully Paid
 36 months,B,RENT,3 years,Fully Paid
 36 months,C,MORTGAGE,< 1 year,Fully Paid
 36 months,D,MORTGAGE,6 years,Fully Paid
 36 months,A,RENT,3 years,Fully Paid
 36 months,D,OWN,3 years,Fully Paid
 60 months,D,RENT,2 years,Fully Paid
 36 months,C,MORTGAGE,5 years,Fully Paid
 36 months,B,MORTGAGE,5 years,Fully Paid
 60 months,E,MORTGAGE,2 years,Fully Paid
 36 months,A,MORTGAGE,6 years,Fully Paid
 36 months,B,MORTGAGE,10+ years,Fully Paid
 36 months,C,RENT,2 years,Fully Paid
 36 months,B,RENT,1 year,Fully Paid
 60 months,B,MORTGAGE,10+ years,Fully Paid
 36 months,B,MORTGAGE,2 years,Fully Paid
 60 months,C,RENT,10+ years,Fully Paid
 60 months,C,MORTGAGE,< 1 year,Fully Paid
 36 months,B,MORTGAGE,10+ years,Fully Paid
 36 months,B,RENT,2 years,Fully Paid
 36 months,A,RENT,10+ years,Fully Paid
 36 months,A,RENT,10+ years,Fully Paid
 36 months,A,MORTGAGE,10+ years,Fully Paid
 36 months,E,RENT,3 years,Fully Paid
 36 months,B,RENT,4 years,Fully Paid
 36 months,B,MORTGAGE,5 years,Fully Paid
 60 months,B,MORTGAGE,6 years,Fully Paid
 36 months,B,MORTGAGE,2 years,Fully Paid
 36 months,A,MORTGAGE,10+ years,Fully Paid
 60 months,C,MORTGAGE,6 years,Fully Paid
 60 months,C,MORTGAGE,5 years,Fully Paid
 36 months,D,MORTGAGE,6 years,Fully Paid
